basin,stream,basin.stream,n,w,elev,aspect,from.north,slope,bf,pebble
swauk,blue,swauk.blue,47.296801,120.705743,869,120,120,3,5.2,35.5
taneum,first,taneum.first,47.114618,120.946155,880,155,155,5,5.07,42
taneum,frost,taneum.frost,47.102939,120.950163,904,328,32,10,12.74,60
swauk,hovey,swauk.hovey,47.318852,120.695241,905,108,108,6,3.44,62
swauk,hurley,swauk.hurley,47.321212,120.674011,932,302,58,3,3.32,66
swauk,iron,swauk.iron,47.336689,120.693441,950,139,139,2,5.16,43.5
teanaway,jack,teanaway.jack,47.3475,120.782771,954,225,135,3,3.62,68.5
teanaway,miller,teanaway.miller,47.368323,120.78448,981,170,170,5,6.08,55
teanaway,standup,teanaway.standup,47.356182,120.836047,871,152,152,8,4.42,92
swauk,swauk,swauk.swauk,47.331107,120.614636,1071,289,71,4,4.82,39
